1A 	-5000	-3500
1B 	-4840	-3340
1C 	-4635	-3135
1D 	-5000	-3345
1E 	-4845	-3500
1F 	-4943	-3190
1G 	-4790	-3134
1H 	-4692	-3500
2A 	-4500	-3500
2B 	-4340	-3340
2C 	-4135	-3135
2D 	-4500	-3345
2E 	-4345	-3500
2F 	-4500	-3190
2G 	-4290	-3177
2H 	-4192	-3500
3A 	-4000	-3500
3B 	-3840	-3340
3C 	-3635	-3135
3D 	-4000	-3345
3E 	-3845	-3500
3F 	-3943	-3190
3G 	-3790	-3177
3H 	-3692	-3500
4A 	-3500	-3500
4B 	-3340	-3340
4C 	-3135	-3135
4D 	-3500	-3345
4E 	-3345	-3500
4F 	-3443	-3190
4G 	-3290	-3134
4H 	-3192	-3444
5A 	-3000	-3500
5B 	-2840	-3340
5C 	-2635	-3135
5D 	-3000	-3345
5E 	-2845	-3500
5F 	-3000	-3190
5G 	-2790	-3177
5H 	-2692	-3444
6A 	-2500	-3500
6B 	-2340	-3340
6C 	-2135	-3135
6D 	-2500	-3345
6E 	-2345	-3500
6F 	-2443	-3190
6G 	-2290	-3177
6H 	-2192	-3444
7A 	-2000	-3500
7B 	-1840	-3340
7C 	-1635	-3135
7D 	-2000	-3345
7E 	-1845	-3500
7F 	-1790	-3177
7G 	-1692	-3500
7H 	-1635	-3345
8A 	-1500	-3500
8B 	-1340	-3340
8C 	-1135	-3135
8D 	-1500	-3345
8E 	-1345	-3500
8F 	-1500	-3190
8G 	-1290	-3177
8H 	-1135	-3290
9A 	-1000	-3500
9B 	-840	-3340
9C 	-635	-3135
9D 	-1000	-3345
9E 	-845	-3500
9F 	-943	-3190
9G 	-790	-3177
9H 	-635	-3290
10A 	-500	-3500
10B 	-340	-3340
10C 	-135	-3135
10D 	-500	-3345
10E 	-345	-3500
10F 	-290	-3177
10G 	-192	-3500
10H 	-135	-3290
11A 	-5000	-3000
11B 	-4840	-2840
11C 	-4635	-2635
11D 	-5000	-2845
11E 	-4845	-3000
11F 	-5000	-2690
