296G	1062.59	-729.171	3182.67
296G	1050.86	-711.597	3126.17
296G	1061.73	-727.793	3178.5
296G	1092.11	-773.061	3324.59
112H	-703.224	-337.436	3135.07
112H	-777.511	-374.153	3334.02
112H	-697.4	-334.655	3119.75
112H	-898.164	-433.766	3656.67
112H	-823.881	-397.124	3458.05
112H	-783.404	-377.117	3349.56
112H	-841.114	-405.746	3504.5
112H	-700.131	-335.989	3127.23
102C	-697.072	-252.196	3133.04
102C	-770.921	-283.216	3331.36
102C	-696.967	-252.2	3132.84
102C	-777.829	-286.106	3350.28
102C	-890.28	-333.349	3652.35
102C	-691.515	-249.775	3118.16
102C	-693.175	-250.568	3122.71
102C	-834.167	-309.796	3501.58
102C	-817.154	-302.692	3456.08
11F	-916.791	852.692	3082.7
11F	-1083.02	931.76	3450.52
11F	-1151.28	964.177	3601.33
11F	-913.165	851.045	3075.04
11F	-1068.22	924.629	3417.65
11F	-913.273	851.023	3075.27
24D	-522.125	768.468	3119.81
24D	-528.236	771.879	3138.52
24D	-593.63	810.118	3346.01
24D	-682.276	862.097	3627.59
24D	-598.04	812.783	3360.45
24D	-641.091	838.085	3497.19
24D	-624.243	828.134	3443.61
24D	-510.953	762.075	3084.8
103B	-618.849	-203.375	3140.78
103B	-795.743	-275.001	3653.63
103B	-618.852	-203.386	3140.78
103B	-689.655	-232.151	3346.51
103B	-611.549	-200.335	3119.98
103B	-613.318	-201.128	3125.28
103B	-693.416	-233.575	3357.41
103B	-745.222	-254.533	3507.36
103B	-728.507	-247.661	3459.3
192C	566.054	497.278	3575.76
192C	552.9	471.153	3254.5
192C	570.282	505.578	3678.16
192C	549.69	464.636	3175.35
192C	557.093	479.452	3356.67
192C	564.442	494.302	3538.96
192C	561.733	488.681	3469.63
192C	546.697	458.914	3102.13
139C	133.812	-775.127	3662.33
139C	167.336	-660.527	3253.78
139C	171.012	-648.232	3210.81
139C	146.162	-733.091	3512.74
139C	143.118	-743.719	3550.9
139C	151.944	-713.094	3441.74
139C	148.053	-726.513	3489.18
139C	177.173	-627.22	3136.03
20D	216.254	903.224	3220.78
20D	195.352	972.197	3531.81
20D	198.019	962.726	3489.49
20D	187.464	997.658	3647.34
20D	201.655	950.921	3436.48
20D	219.225	893.074	3175.57
20D	225.902	871.191	3076.89
20D	200.246	955.144	3456.22
33C	-556.645	596.897	3137.52
33C	-623.356	622.767	3342.86
33C	-716.433	658.848	3629.51
33C	-656.366	635.569	3444.64
33C	-550.436	594.557	3118.8
33C	-628.424	624.791	3358.65
33C	-673.098	641.901	3495.84
33C	-541.09	590.913	3090.01
256F	967.29	-269.428	3199.86
256F	1018.18	-315.482	3489.73
256F	1038.61	-333.724	3605.54
256F	989.998	-289.911	3329.23
256F	1012.09	-309.916	3454.99
256F	963.568	-266.192	3178.96
256F	1013.34	-311.161	3462.66
256F	952.114	-255.795	3113.51
248E	1232.6	-56.7818	3175.54
248E	1300.06	-79.75	3431.29
248E	1334.09	-91.522	3560.74
248E	1272.02	-70.4745	3325.53
248E	1235.21	-57.7115	3185.58
248E	1301.39	-80.4355	3436.66
248E	1298.84	-79.4673	3426.92
248E	1211.8	-49.7576	3096.75
46A	-275.622	564.605	3176.07
46A	-327.586	590.293	3402.31
46A	-383.271	618.066	3645.77
46A	-269.536	561.571	3149.53
46A	-256.718	555.258	3094.02
46A	-340.897	597.057	3461.41
46A	-325.29	589.381	3393.42
46A	-355.958	604.295	3526.52
60F	214.601	348.923	3232.08
60F	218.381	346.886	3179.22
60F	197.835	359.682	3482.65
60F	186.411	366.844	3650.99
60F	200.665	357.82	3439.31
60F	198.764	358.963	3465.98
60F	194.257	361.852	3534.4
60F	225.536	342.455	3072.17
269D	1332.82	-339.267	3182.42
269D	1373.64	-364.276	3320.2
269D	1325.51	-334.756	3157.62
269D	1325.61	-334.777	3157.83
269D	1400.16	-380.75	3409.48
269D	1439.33	-404.869	3541.99
269D	1403.54	-382.767	3420.99
269D	1402.08	-381.954	3416.26
269D	1308.5	-324.294	3100.23
43H	-569.703	549.96	3135.76
43H	-733.076	605.115	3632.24
43H	-637.408	572.772	3341.4
43H	-642.583	574.425	3357.06
43H	-563.88	548.139	3118.49
43H	-687.927	589.782	3495.02
43H	-555.128	545.398	3092.27
43H	-671.836	584.42	3446.29
11A	-922.324	929.606	3080.69
11A	-1089.19	1018.09	3447.95
11A	-1156.89	1053.78	3596.44
11A	-918.898	927.723	3073.37
11A	-918.818	927.76	3073.51
11A	-1074.77	1010.5	3416.4
143D	-701.405	-704.866	3145.47
143D	-695.568	-700.218	3130.16
104C	-444.209	-258.028	3164.45
104C	-444.191	-258.018	3164.41
104C	-586.189	-335.998	3662.4
104C	-506.098	-291.894	3381.02
104C	-438.12	-254.613	3143.5
104C	-504.609	-291.144	3376.49
104C	-432.083	-251.185	3122.65
104C	-530.119	-305.198	3465.9
104C	-547.152	-314.494	3526.01
244F	719.96	-134.745	3228.87
244F	749.728	-170.489	3543.34
244F	729.985	-146.825	3335.16
244F	759.674	-182.543	3648.67
244F	715.365	-128.888	3178.68
244F	743.903	-163.482	3481.64
244F	744.95	-164.883	3493.41
244F	709.562	-122.215	3118.69
110G	300.469	-195.915	3245.14
110G	300.476	-195.912	3245.2
110G	284.876	-247.961	3637.54
110G	291.728	-225.177	3465.6
110G	293.497	-218.811	3418.17
110G	303.468	-186.052	3170.71
110G	307.892	-171.221	3059.49
110G	289.082	-233.551	3529.46
110G	291.441	-226.154	3473.3
80D	185.028	145.379	3649.17
80D	196.667	149.02	3475.2
80D	213.117	153.955	3235.82
80D	217.16	155.104	3177.58
80D	224.667	157.373	3068.18
80D	197.18	149.304	3470.55
80D	199.41	149.722	3438.47
80D	192.813	147.78	3535.23
80D	-657.641	-706.074	3145.99
80D	-657.38	-705.889	3145.13
149H	153.628	-738.392	3257.1
149H	157.703	-724.078	3210.56
149H	163.887	-702.03	3138.51
149H	163.906	-702.057	3138.67
17E	-121.775	942.627	3194.19
17E	-182.953	1023.9	3538.4
17E	-163.906	998.744	3431.68
17E	-201.988	1049.54	3646.56
17E	-159.958	993.377	3409.11
17E	-169.992	1006.9	3466.27
17E	-101.862	916.018	3082.17
17E	-116.166	935.127	3162.63
14G	-443.033	923.118	3148.74
14G	-436.701	918.028	3127.16
14G	-504.007	972.791	3361.67
14G	-579.669	1034.91	3627.07
14G	-506.252	974.772	3370.2
14G	-423.254	907.068	3080.24
14G	-544.345	1005.95	3503.42
14G	-528.268	992.847	3447.28
189B	1440.95	656.239	3401.86
189B	1370.46	625.608	3174.11
189B	1419.93	647.164	3334.11
189B	1484.28	674.931	3542.59
189B	1376.9	628.365	3194.93
189B	1338.75	611.983	3071.85
189B	1450.81	660.453	3433.86
189B	1444.96	657.993	3415.21
126C	-207.035	-516.637	3199.66
126C	-255.365	-573.073	3436.2
126C	-305.439	-631.48	3680.28
126C	-200.988	-509.6	3170.53
126C	-265.003	-584.43	3483.85
126C	-248.938	-565.491	3404.38
126C	-279.629	-601.228	3554.48
126C	-192.807	-500.064	3130.51
286D	960.475	-585.595	3176.95
286D	1009.25	-659.24	3456.11
286D	1015.57	-668.804	3492.28
286D	963.471	-590.265	3194.25
